,Alpha,R2,^FCHI,^GDAXI,^GSPC,^FTSE,^SSMI,^STOXX50E
FR0000982761,9.134327415737234e-05,0.7700595106587754,0.2938601944212013,0.35494325388730125,-0.052761007431484874,-0.08811504430975331,0.039263341191956624,0.23371142367008024
FR0000988669,-0.0002854111442279894,0.6070114291071762,0.22209796162583995,0.036031602763209575,0.8150398479100716,0.0737074443148345,0.04780438113011427,-0.23584215908929218
FR0000989899,-0.0001374037867195452,0.7736187343781951,0.587010128573487,0.361650046674466,0.07378622781842331,-0.029848435880235474,0.01882621934612501,-0.18980330037981805
FR0000989923,-0.00038870481602225473,0.38373303816105153,0.44215173494643767,0.44333697224294955,0.020387226913634898,0.15334995593434425,0.10417598304433312,-0.35313634735315885
FR0000990095,-0.00014404387241257388,0.7836469011824649,0.41719202546237716,0.4030903964626864,0.09466223458573642,-0.05723221522582472,0.0618762689306383,-0.038706554765896684
FR0000990756,6.764257948117217e-05,0.9009751804783415,0.32389973885119994,0.2681142652329143,-0.0051323247073361,0.04406278859464463,-0.048761026944998176,0.3734425667372889
FR0000990921,-0.0001013223945180827,0.8449812749319774,0.5508990345205881,0.20578314819611637,0.03859285994409245,-0.11475310356423851,0.13825288918878642,0.053393780106732805
FR0000991390,4.465585402455902e-05,0.0033975103263453876,0.00018067461345526017,0.0006313528865092011,0.0002810668224509404,-0.00020533867742955703,-0.00072495310132967,-0.00019663240233980286
FR0000991424,-0.0001041929122827802,0.7472781410507524,0.20255078355060363,0.35093240106341955,0.03980756627595043,0.11632078814869944,0.2286150128522875,-0.06415335910998748
FR0007009139,-2.348029547348771e-05,0.642242322873469,0.08165771034902337,0.12744678650837343,0.01039213556399278,-0.015078940904370737,0.04943867528367389,0.008747106248820732
FR0007018239,3.974080137247148e-05,0.635998716348618,0.1644249770209925,0.1220887630172941,0.03452397978321687,0.00392963374746242,-0.010337653216628204,-0.048625345436285675
FR0007020201,0.00014146770711415496,0.7886214635143022,0.17428370442500465,0.24065663731597126,0.06568123682747799,0.07141434248450466,-0.03791487320687757,0.06519764095854386
FR0007022108,4.680868716376414e-05,0.9121989436545987,0.35790823174379516,0.30306698144291366,0.018851998949631132,0.06400951414363265,0.0025948564613078873,0.16918093767779852
FR0007023692,4.6626475204967604e-05,0.2886369704258045,0.04428386915971487,0.06355311946816956,0.08289087780399412,-0.006695440758886818,0.1161444568583392,-0.0091723696815465
FR0007028543,1.039317016267164e-05,0.7128020248438329,0.14842809234930687,0.08266554642247922,0.2409181583150124,0.2026239028814649,-0.007889852465660055,-0.13111951496858004
FR0007043781,-6.70977537146547e-05,0.07720260017417191,-0.09770154754512607,-0.184416966381555,0.031603372668047414,0.3033978385374223,-0.07208389879009716,0.3612009910272569
FR0007045737,-8.372354351805311e-05,0.8714204927444487,0.26881146296438524,0.37879739474316815,0.03136649811869886,0.07209075161680804,0.018959512443200155,0.09794749029668959
FR0007051040,5.1573033549223616e-05,0.7665400885058831,0.19896284367572784,0.064139115612565,0.0072439822448570265,0.10676625641214679,-0.046805097701464266,-0.06493086472330775
FR0007057070,-2.592221575264771e-05,0.652040343052237,0.009733663499338758,0.07544650200992692,0.4223237229612862,0.033542333588312684,0.10439486257914068,0.11607473470411661
FR0007061882,-0.0001934602424785984,0.7714679792893003,0.2803121608715221,0.41397116026559133,0.04494459499462196,0.024143070752315948,0.09853514884369557,-0.066448289862136
FR0007064324,-0.00010156520187121555,0.768402226609199,0.645179977380771,0.334735874211814,0.030746107001403476,0.06152125730240958,-0.054907868233525906,-0.18213446615025516
FR0007064357,-4.905897010806199e-05,0.7349427794916104,0.23841211457181927,0.41212652671106764,0.01873222512903644,0.07308955887681123,0.13390014758793545,-0.12612420256067622
FR0007064449,0.00018400347339473012,0.07705364559203598,-0.0005498662022161352,0.11390177910884165,-0.036854613193408096,0.09673145960699882,0.20458839176856897,-0.07989987873273903
FR0007064472,-5.0016163232708495e-05,0.01595870625510909,0.024222000618885457,-0.0035116683618988814,0.013908935943058394,0.003254558697267399,0.03171418870441589,-0.034733813446384716
FR0007066725,-0.00010222635165030805,0.7503909026399189,0.20855368136390046,0.2854929800543418,0.05284031878455407,-0.1113733133784571,0.1873047684214117,0.17541949483603742
FR0007067673,3.8984243046157186e-05,0.03566241640288115,0.011559999976704219,0.011057404007933286,0.006094250833997712,-0.004473367227507918,0.004779490819458982,-0.014098112138559661
FR0007070982,0.0001106906390583995,0.0189941101923633,0.00785105999222441,0.037296884124391916,-0.01164812137325648,-0.006893204984535432,0.027161705447860077,-0.027783275058602213
FR0007072160,2.5838362633541846e-05,0.43814108553910636,0.07059839931139131,0.04183219579928785,0.009602233805049596,0.014482059904174952,0.015432302132746933,-0.045656684955971916
FR0007073119,-8.620829092357993e-05,0.7540749827531816,0.0959422653147317,0.2696954992769939,0.05396111808826326,0.003535762282320748,0.24409700749427132,0.05821552868088653
FR0007075155,0.00020461141239068887,0.016320345927052227,0.17041843424517691,0.10644998908138104,-0.040129969594076095,-0.009350840422503746,0.04465635789824775,-0.18975732427852524
FR0007076930,3.027204405001724e-05,0.7935374936023143,0.7070979359445273,0.16755610289474557,0.006223664043140627,0.29958048406511234,-0.1582888055749969,-0.1616716684574377
FR0007078589,-1.5453857963244248e-06,0.7374976599196703,0.101734423417344,0.06692720210395478,0.0579919733911744,0.030490238654651176,0.006153796071711907,-0.0065537486065041645
FR0007078811,1.6957012524544045e-05,0.8500889524859838,0.507204469473364,0.4138326492288419,-0.007855973289694312,0.4181952334928579,-0.16220855477977172,-0.14101585612788983
FR0007082060,5.793649812618027e-05,0.7879703676740959,0.3229577643571477,0.287367405940684,0.047675680395386125,0.10540299500507422,0.026103588409897224,-0.08201554704938221
FR0007082359,-6.959446484712786e-05,0.7203882569166262,0.2579725358905137,0.3782208425706243,0.0809807601898736,-0.039809934714353956,0.23360665867752958,-0.0251708692412613
FR0007390174,0.0003961894924379193,0.1279752347509071,-0.5618765767495062,0.4146147103912745,0.4144986560794205,0.34738442644390366,0.14643356510437353,-0.045815468673741866
FR0007450002,-9.731489233691414e-05,0.14278767546262072,0.02938535537802685,-0.00629037629389706,0.06697529749078698,0.28788199288878097,-0.026635015806589828,0.05840627931226315
FR0007482591,-0.00019246294141948484,0.5720479611008485,0.3479287224528803,0.3188495408147223,0.07201200077805064,0.07607805573458104,0.024824323028357742,-0.11019599772704994
FR0007494760,5.188970619489611e-05,0.6886803236910173,0.05309662149155052,0.041998178081752824,0.03668404980270035,0.02126547045944025,0.014572294992910817,-0.009961579734686369
FR0007494778,5.959220985206527e-05,0.8276336209662749,0.12455251663726902,0.11849100920224184,0.11097201423711515,0.07351297239700263,0.033693123116617804,-0.027671634204001705
FR0007494786,5.7423117862697435e-05,0.843650923366637,0.18912492189202032,0.18158275110012007,0.15608967714256566,0.11096173216698742,0.055419898407692875,-0.04389840104878129
FR0007495049,-1.5279543319663688e-05,0.5900611473313915,0.3682689943707355,0.09996506089607571,0.039649881893016214,0.26199290394118724,-0.1349141985107431,-0.1242488041097907
FR0010011171,0.0003308973675775267,0.3175552869923324,0.01226137788812346,0.12080478701605585,0.2827614168119029,0.7363165764014622,-0.10079056067577306,-0.2063532631706505
FR0010018192,-0.00017213542471506248,0.6948033775836119,0.511174907595568,0.2890448531697147,0.055325301367914304,-0.051064876493896086,0.09608928589608305,-0.1783342428850947
FR0010027623,4.253112015865114e-05,0.0070376476540015,-0.0017057721327667873,0.0002865581739002038,0.0001499873613786146,0.0007264150108566207,-0.0005999478276447346,0.0013966070682097562
FR0010028985,-6.391245519423253e-05,0.044864017179735094,0.046145594235699576,0.03599180596352559,0.02837399269385599,-0.050409109851062686,0.03945712772608366,-0.040523329665280175
FR0010032326,5.092406784271853e-05,0.2909108060187888,0.10568844311202599,0.04563633061512659,0.02576073329364422,0.04983576253446925,-0.012626832711969023,-0.07053291044117535
